title,rating,price,stock,category
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73,16,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,16,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83,16,Nonfiction
Soul Reader,2,39.58,16,Default
Security,2,39.25,16,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,16,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,16,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83,16,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,16,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,16,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),5,13.34,16,Fantasy
"Pop Gun War, Volume 1: Gift",1,18.97,16,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,36.28,16,History
Patience,3,10.16,16,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,16,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,16,Self Help
orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,16,Sequential Art
On a Midnight Clear,3,14.07,16,Add a comment
Obsidian (Lux #1),2,14.86,16,Young Adult
My Paris Kitchen: Recipes and Stories,2,33.37,16,Food and Drink
Masks and Shadows,2,56.4,16,Fantasy
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,46.91,16,Sequential Art
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,14.02,16,Food and Drink
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,19.92,16,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,16,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",1,40.11,16,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,53.9,16,Add a comment
Join,5,35.67,16,Science Fiction
In the Country We Love: My Family Divided,4,22.0,16,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,57.36,16,Science
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2,29.17,16,Sequential Art
I am a Hero Omnibus Volume 1,3,54.63,16,Sequential Art
How to Be Miserable: 40 Strategies You Already Use,1,46.03,16,Self Help
Her Backup Boyfriend (The Sorensen Family #1),1,33.97,16,Romance
"Giant Days, Vol. 2 (Giant Days #5-8)",2,22.11,16,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,16,Historical Fiction
First and First (Five Boroughs #3),4,15.97,16,Romance
Fifty Shades Darker (Fifty Shades #2),1,21.96,16,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,2,54.35,16,Nonfiction
Danganronpa Volume 1,4,51.99,16,Sequential Art
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2,37.97,16,Religion
Crown of Midnight (Throne of Glass #2),3,43.29,16,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",4,36.72,16,Sequential Art
Camp Midnight,4,17.08,16,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,5,29.14,16,Nonfiction
Burning,3,28.81,16,Young Adult
Bossypants,2,49.46,16,Default
Algorithms to Live By: The Computer Science of Human Decisions,1,30.81,16,Nonfiction
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2,28.09,16,Fantasy
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,37.92,16,Sequential Art
A World of Flavor: Your Gluten Free Passport,1,42.95,16,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5,56.76,16,Default
A Flight of Arrows (The Pathfinders #2),5,55.53,16,Historical Fiction
A Fierce and Subtle Poison,4,28.13,16,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),1,52.37,16,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,5,54.0,16,Christian
You Are What You Love: The Spiritual Power of Habit,4,21.87,15,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,43.3,15,Science Fiction
Tuesday Nights in 1980,2,21.04,15,Fiction
Tracing Numbers on a Train,3,41.6,15,Default
Throne of Glass (Throne of Glass #1),3,35.07,15,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,1,59.64,15,History
Thirteen Reasons Why,1,52.72,15,Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,4,58.08,15,Childrens
The Wedding Dress,1,24.12,15,Romance
The Vacationers,4,42.15,15,Fiction
The Stranger,4,17.44,15,Philosophy
The Third Wave: An Entrepreneur’s Vision of the Future,5,12.61,15,Business
The Shadow Hero (The Shadow Hero),1,33.14,15,Sequential Art
The Secret (The Secret #1),4,27.37,15,Default
The Regional Office Is Under Attack!,5,51.36,15,Fiction
The Psychopath Test: A Journey Through the Madness Industry,2,36.0,15,Default
The Project,1,10.65,15,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,2,43.54,15,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,2,38.21,15,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,5,37.34,15,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,15,Mystery
The Mistake (Off-Campus #2),3,43.29,15,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),1,55.85,15,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,2,37.6,15,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,1,10.97,15,Crime
A Murder in Time,1,16.64,16,Mystery
The Kite Runner,4,41.82,15,Default
The House by the Lake,1,36.95,15,Historical Fiction
The Glittering Court (The Glittering Court #1),1,44.28,15,Fantasy
The Girl on the Train,2,55.02,15,Default
The Genius of Birds,1,17.24,15,Nonfiction
The Emerald Mystery,2,23.15,15,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,1,41.25,15,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,32.0,15,Default
The Artist's Way: A Spiritual Path to Higher Creativity,5,38.49,15,Nonfiction
The Argonauts,2,10.93,15,Autobiography
The Art of War,5,33.34,15,Default
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,27.55,15,Business
Suddenly in Love (Lake Haven #1),2,55.99,15,Romance
Something More Than This,4,16.24,15,Romance
Soft Apocalypse,2,26.12,15,Science Fiction
So You've Been Publicly Shamed,2,12.23,15,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,2,23.99,15,Business
Romero and Juliet: A Tragic Tale of Love and Zombies,1,36.94,15,Default
Scarlett Epstein Hates It Here,5,43.55,15,Young Adult
"Shobu Samurai, Project Aryoku (#3)",3,29.06,15,Add a comment
Secrets and Lace (Fatal Hearts #1),1,20.27,15,Default
Redeeming Love,5,20.47,15,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,1,41.06,15,Default
Poems That Make Grown Women Cry,4,14.19,15,Poetry
"Nightingale, Sing",1,38.28,15,Young Adult
Night Sky with Exit Wounds,1,41.05,15,Poetry
Mrs. Houdini,5,30.25,15,Historical Fiction
Modern Romance,5,28.26,15,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),1,10.76,15,Default
Little Red,3,13.47,15,Childrens
Large Print Heart of the Pride,2,19.15,15,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,57.36,15,Womens Fiction
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,15,Travel
Hollow City (Miss Peregrine’s Peculiar Children #2),1,42.98,15,Fantasy
Grumbles,2,22.16,15,Default
Louisa: The Extraordinary Life of Mrs. Adams,2,16.85,15,Biography
Frostbite (Vampire Academy #2),5,29.99,15,Young Adult
Follow You Home,1,21.36,15,Horror
First Steps for New Christians (Print Edition),1,29.0,15,Default
Finders Keepers (Bill Hodges Trilogy #2),5,53.53,15,Fiction
Library of Souls (Miss Peregrine’s Peculiar Children #3),5,48.56,15,Young Adult
"Fables, Vol. 1: Legends in Exile (Fables #1)",4,41.62,15,Sequential Art
Eureka Trivia 6.0,4,54.59,15,Default
Done Rubbed Out (Reightman & Bailey #1),5,37.72,15,Default
Doing It Over (Most Likely To #1),3,35.61,15,Romance
Dark Notes,5,19.19,15,Erotica
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,42.16,15,Food and Drink
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",3,19.43,15,Nonfiction
Close to You,4,49.46,15,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,2,37.8,15,Spirituality
Drive: The Surprising Truth About What Motivates Us,4,34.95,15,Default
Big Magic: Creative Living Beyond Fear,3,30.8,15,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,2,27.43,15,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),2,11.11,15,Default
Batman: The Dark Knight Returns (Batman),5,15.38,15,Sequential Art
Batman: The Long Halloween (Batman),2,36.5,15,Sequential Art
Ayumi's Violin,2,15.48,15,Default
Anonymous,4,46.82,15,Default
Amy Meets the Saints and Sages,3,18.46,15,Default
Amid the Chaos,1,36.58,15,Cultural
Amatus,5,50.54,15,Default
Agnostic: A Spirited Manifesto,5,12.51,15,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,3,24.7,14,History
You (You #1),5,43.61,14,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,37.34,14,Sequential Art
Wild Swans,2,14.36,14,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,4,52.65,14,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4,38.2,14,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,2,19.6,14,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",1,53.9,14,Sequential Art
Walt Disney's Alice in Wonderland,5,12.96,14,Childrens
V for Vendetta (V for Vendetta Complete),4,37.1,14,Default
Until Friday Night (The Field Party #1),2,46.31,14,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2,45.95,14,Default
Twenty Yawns,2,22.08,14,Childrens
Through the Woods,2,25.38,14,Sequential Art
This Is Where It Ends,2,27.12,14,Young Adult
The Year of Magical Thinking,2,43.04,14,Nonfiction
The Wright Brothers,4,56.8,14,Default
The White Queen (The Cousins' War #1),5,25.91,14,Add a comment
The Wedding Pact (The O'Malleys #2),3,32.61,14,Romance
The Time Keeper,5,27.88,14,Fiction
The Testament of Mary,4,52.67,14,Fiction
The Star-Touched Queen,5,46.02,14,Fantasy
The Songs of the Gods,5,44.48,14,Default
The Song of Achilles,5,37.4,14,Add a comment
The Power of Habit: Why We Do What We Do in Life and Business,3,16.88,14,Default
The Rosie Project (Don Tillman #1),1,54.04,14,Default
The Marriage of Opposites,4,28.08,14,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,1,10.4,14,Psychology
The Long Haul (Diary of a Wimpy Kid #9),1,44.07,14,Humor
The Loney,1,23.4,14,Horror
The Literature Book (Big Ideas Simply Explained),3,17.43,14,Nonfiction
The Last Mile (Amos Decker #2),2,54.21,14,Mystery
The Hidden Oracle (The Trials of Apollo #1),2,52.26,14,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,3,28.77,14,Food and Drink
The Guilty (Will Robie #4),2,13.82,14,Thriller
The First Hostage (J.B. Collins #2),3,25.85,14,Fiction
The Dovekeepers,1,48.78,14,Add a comment
The Darkest Lie,5,35.35,14,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),4,44.73,14,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,1,15.77,14,Nonfiction
The 14th Colony (Cotton Malone #11),1,39.24,14,Thriller
That Darkness (Gardiner and Renner #1),1,13.92,14,Mystery
The Immortal Life of Henrietta Lacks,2,40.67,14,Add a comment
Tastes Like Fear (DI Marnie Rome #3),1,10.69,14,Mystery
Take Me with You,3,45.21,14,Fiction
Swell: A Year of Waves,1,45.58,14,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),5,11.89,14,Sequential Art
Still Life with Bread Crumbs,3,26.41,14,Fiction
Steve Jobs,5,39.5,14,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4,44.74,14,Science
Someone Like You (The Harrisons #2),5,52.79,14,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",4,35.43,14,Sequential Art
Shtum,4,55.84,14,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,14,Travel
salt.,4,46.78,14,Poetry
Robin War,3,47.82,14,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2,25.48,14,Sequential Art
Rain Fish,3,23.57,14,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5,50.89,14,Poetry
Pet Sematary,3,10.56,14,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",3,52.15,14,Self Help
Once Was a Time,2,18.28,14,Childrens
Old School (Diary of a Wimpy Kid #10),5,11.83,14,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2,21.95,14,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",2,38.39,14,Sequential Art
My Name Is Lucy Barton,1,41.56,14,Fiction
My Mrs. Brown,3,24.48,14,Fiction
My Kind of Crazy,1,40.36,14,Young Adult
Made to Stick: Why Some Ideas Survive and Others Die,5,38.85,14,Business
Mr. Mercedes (Bill Hodges Trilogy #1),1,28.9,14,Fiction
More Than Music (Chasing the Dream #1),2,37.61,14,Add a comment
Luis Paints the World,3,53.95,14,Childrens
Luckiest Girl Alive,3,49.83,14,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),2,51.51,14,Sequential Art
Looking for Lovely: Collecting the Moments that Matter,5,29.14,14,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4,46.91,14,Default
Let It Out: A Journey Through Journaling,5,26.79,14,Nonfiction
Lady Midnight (The Dark Artifices #1),5,16.28,14,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",1,19.55,14,Food and Drink
Island of Dragons (Unwanteds #7),1,29.65,14,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,4,25.98,14,Humor
I Am Pilgrim (Pilgrim #1),4,10.6,14,Fiction
Love Is a Mix Tape (Music #1),1,18.03,14,Music
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",5,14.75,14,Humor
"Hush, Hush (Hush, Hush #1)",3,47.02,14,Default
Hold Your Breath (Search and Rescue #1),1,28.82,14,Romance
Hamilton: The Revolution,3,58.79,14,Nonfiction
Greek Mythic History,5,10.23,14,Default
God: The Most Unpleasant Character in All Fiction,5,30.03,14,Religion
Glory over Everything: Beyond The Kitchen House,3,45.84,14,Historical Fiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",4,15.06,14,Nonfiction
Every Last Word,3,46.47,14,Default
Eligible (The Austen Project #4),3,27.09,14,Fiction
El Deafo,5,57.62,14,Sequential Art
Eight Hundred Grapes,4,14.39,14,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",5,51.75,14,Nonfiction
"Eat Fat, Get Thin",2,54.07,14,Health
Feathers: Displays of Brilliant Plumage,3,49.05,14,Art
Don't Get Caught,1,55.35,14,Young Adult
Doctor Sleep (The Shining #2),2,40.12,14,Horror
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),5,37.51,14,Fantasy
Dear Mr. Knightley,5,11.21,14,Fiction
Daily Fantasy Sports,1,36.58,14,Default
Crazy Love: Overwhelmed by a Relentless God,2,47.72,14,Christian
Cometh the Hour (The Clifton Chronicles #6),3,25.01,14,Fiction
Code Name Verity (Code Name Verity #1),4,22.13,14,Add a comment
Clockwork Angel (The Infernal Devices #1),1,44.14,14,Default
City of Glass (The Mortal Instruments #3),4,56.02,14,Fantasy
City of Fallen Angels (The Mortal Instruments #4),4,11.23,14,Default
City of Bones (The Mortal Instruments #1),1,43.28,14,Default
City of Ashes (The Mortal Instruments #2),1,47.27,14,Default
Cell,4,20.29,14,Add a comment
Catching Jordan (Hundred Oaks),3,50.83,14,Young Adult
"Carry On, Warrior: Thoughts on Life Unarmed",3,31.85,14,Default
Carrie,2,46.23,14,Default
Buying In: The Secret Dialogue Between What We Buy and Who We Are,4,37.8,14,Nonfiction
Brain on Fire: My Month of Madness,5,49.32,14,Nonfiction
Batman: Europa,2,32.01,14,Sequential Art
Barefoot Contessa Back to Basics,1,28.01,14,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,5,50.62,14,Food and Drink
Balloon Animals,3,17.03,14,Fiction
Art Ops Vol. 1,3,48.8,14,Sequential Art
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),4,58.14,14,Young Adult
Angels Walking (Angels Walking #1),2,34.2,14,Add a comment
Angels & Demons (Robert Langdon #1),3,51.48,14,Default
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",2,10.9,14,Sequential Art
All the Light We Cannot See,5,29.87,14,Historical
Abstract City,5,56.37,14,Nonfiction
A Time of Torment (Charlie Parker #14),5,48.35,14,Mystery
A Study in Scarlet (Sherlock Holmes #1),2,16.73,14,Mystery
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",2,56.48,14,Add a comment
A People's History of the United States,2,40.79,14,Add a comment
A Man Called Ove,1,39.72,14,Fiction
A Distant Mirror: The Calamitous 14th Century,3,14.58,14,History
A Brush of Wings (Angels Walking #3),1,55.51,14,Add a comment
1491: New Revelations of the Americas Before Columbus,3,21.8,14,History
"The Three Searches, Meaning, and the Story",3,13.33,13,Default
Searching for Meaning in Gailana,1,38.73,13,Fantasy
Rook,4,37.86,13,Add a comment
My Kitchen Year: 136 Recipes That Saved My Life,2,11.53,13,Food and Drink
13 Hours: The Inside Account of What Really Happened In Benghazi,1,27.06,13,Nonfiction
Will You Won't You Want Me?,3,13.86,12,Womens Fiction
Tipping Point for Planet Earth: How Close Are We to the Edge?,1,37.55,12,Science
The Star-Touched Queen,5,32.3,12,Fantasy
The Silent Sister (Riley MacPherson #1),5,46.29,12,Fiction
The Midnight Watch: A Novel of the Titanic and the Californian,1,26.2,12,Add a comment
The Lonely City: Adventures in the Art of Being Alone,2,33.26,12,Nonfiction
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,4,59.15,12,Add a comment
The Golden Condom: And Other Essays on Love Lost and Found,1,39.43,12,Psychology
The Epidemic (The Program 0.6),5,14.44,12,Young Adult
The Dinner Party,2,56.54,12,Fiction
The Diary of a Young Girl,3,59.9,12,Nonfiction
The Children,3,11.88,12,Add a comment
Stars Above (The Lunar Chronicles #4.5),2,48.05,12,Young Adult
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,3,21.21,12,Nonfiction
Raspberry Pi Electronics Projects for the Evil Genius,4,49.67,12,Default
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,1,43.14,12,Business
Psycho: Sanitarium (Psycho #1.5),5,36.97,12,Horror
Poisonous (Max Revere Novels #3),3,26.8,12,Mystery
One with You (Crossfire #5),4,15.71,12,Add a comment
No Love Allowed (Dodge Cove #1),4,54.65,12,Young Adult
Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,12,Mystery
Most Wanted,3,35.28,12,Mystery
"Love, Lies and Spies",2,20.55,12,Historical Fiction
How to Speak Golf: An Illustrated Guide to Links Lingo,5,58.32,12,Default
Hide Away (Eve Duncan #20),1,11.84,12,Mystery
Furiously Happy: A Funny Book About Horrible Things,4,41.46,12,Nonfiction
Everyday Italian: 125 Simple and Delicious Recipes,5,20.1,12,Food and Drink
Eleanor & Park,5,56.51,12,Default
Dirty (Dive Bar #1),4,40.83,12,Romance
Can You Keep a Secret? (Fear Street Relaunch #4),1,48.64,12,Horror
Boar Island (Anna Pigeon #19),3,59.48,12,Mystery
A Paris Apartment,4,39.01,12,Historical Fiction
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",1,38.77,12,Food and Drink
Troublemaker: Surviving Hollywood and Scientology,2,48.39,11,Default
The Widow,2,27.26,11,Mystery
"The Sleep Revolution: Transforming Your Life, One Night at a Time",4,11.68,11,Nonfiction
The Improbability of Love,1,59.45,11,Fiction
The Art of Startup Fundraising,3,21.0,11,Business
Take Me Home Tonight (Rock Star Romance #3),3,53.98,11,Romance
Sleeping Giants (Themis Files #1),1,48.74,11,Science Fiction
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",2,21.15,11,Biography
Playing with Fire,3,13.71,11,Mystery
Off the Hook (Fishing for Trouble #1),3,47.67,11,Romance
Mothering Sunday,2,13.34,11,Fiction
"Mother, Can You Not?",5,16.89,11,Nonfiction
M Train,1,27.18,11,Autobiography
Lilac Girls,2,17.28,11,Historical Fiction
Equal Is Unfair: America's Misguided Fight Against Income Inequality,1,56.86,12,Politics
Lies and Other Acts of Love,1,45.14,11,Fiction
Lab Girl,1,40.85,11,Autobiography
Keep Me Posted,4,20.46,11,Womens Fiction
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,3,56.27,11,Psychology
Grey (Fifty Shades #4),4,48.49,11,Womens Fiction
"Exit, Pursued by a Bear",4,51.34,11,Young Adult
Daredevils,3,16.34,11,Fiction
